Standard Model;G2;G3;G2
"Zeitpunkt in s";"firel in deg";"firel in deg";"firel in deg"
0,485167;120,957038;90,226820;120,957038
0,486167;120,992280;90,250933;120,992280
0,487167;121,026765;90,274583;121,026765
0,488167;121,060494;90,297771;121,060494
0,489167;121,093467;90,320496;121,093467
0,490167;121,125685;90,342759;121,125685
0,491167;121,157147;90,364559;121,157147
0,492167;121,187855;90,385896;121,187855
0,493167;121,217809;90,406770;121,217809
0,494167;121,247008;90,427182;121,247008
0,495167;121,275454;90,447131;121,275454
0,496167;121,303146;90,466616;121,303146
0,497167;121,330086;90,485639;121,330086
0,498167;121,356273;90,504199;121,356273
0,499167;121,381708;90,522295;121,381708
0,500167;121,406392;90,539929;121,406392
0,501167;121,430324;90,557099;121,430324
0,502167;121,453506;90,573805;121,453506
0,503167;121,475938;90,590048;121,475938
0,504167;121,497619;90,605828;121,497619
0,505167;121,518552;90,621144;121,518552
0,506167;121,538736;90,635997;121,538736
0,507167;121,558171;90,650385;121,558171
0,508167;121,576858;90,664310;121,576858
0,509167;121,594799;90,677771;121,594799
0,510167;121,611992;90,690768;121,611992
0,511167;121,628439;90,703301;121,628439
0,512167;121,644141;90,715370;121,644141
0,513167;121,659097;90,726975;121,659097
0,514167;121,673309;90,738116;121,673309
0,515167;121,686777;90,748792;121,686777
0,516167;121,699501;90,759004;121,699501
0,517167;121,711483;90,768751;121,711483
0,518167;121,722722;90,778034;121,722722
0,519167;121,733220;90,786852;121,733220
0,520167;121,742976;90,795205;121,742976
0,521167;121,751992;90,803093;121,751992
0,522167;121,760268;90,810517;121,760268
0,523167;121,767806;90,817476;121,767806
0,524167;121,774604;90,823969;121,774604
0,525167;121,780665;90,829998;121,780665
0,526167;121,785988;90,835561;121,785988
0,527167;121,790575;90,840659;121,790575
0,528167;121,794426;90,845291;121,794426
0,529167;121,797542;90,849458;121,797542
0,530167;121,799924;90,853159;121,799924
0,531167;121,801571;90,856395;121,801571
0,532167;121,802486;90,859165;121,802486
0,533167;121,802668;90,861469;121,802668
0,534167;121,802118;90,863307;121,802118
0,535167;121,800838;90,864680;121,800838
0,536167;121,798827;90,865586;121,798827
0,537167;121,796087;90,866026;121,796087
0,538167;121,792619;90,866000;121,792619
0,539167;121,788422;90,865507;121,788422
0,540167;121,783498;90,864548;121,783498
0,541167;121,777848;90,863123;121,777848
0,542167;121,771472;90,861231;121,771472
0,543167;121,764371;90,858872;121,764371
0,544167;121,756547;90,856047;121,756547
0,545167;121,747999;90,852755;121,747999
0,546167;121,738728;90,848996;121,738728
0,547167;121,728737;90,844770;121,728737
0,548167;121,718024;90,840077;121,718024
0,549167;121,706591;90,834917;121,706591
0,550167;121,694440;90,829289;121,694440
0,551167;121,681570;90,823195;121,681570
0,552167;121,667983;90,816633;121,667983
0,553167;121,653679;90,809604;121,653679
0,554167;121,638659;90,802107;121,638659
0,555167;121,622925;90,794143;121,622925
0,556167;121,606477;90,785711;121,606477
0,557167;121,589316;90,776811;121,589316
0,558167;121,571443;90,767444;121,571443
0,559167;121,552858;90,757609;121,552858
0,560167;121,533563;90,747306;121,533563
