Standard Model;Bus 1
"Zeitpunkt in s";"Elektrische Frequenz in Hz"
1,011167;60,009328
1,012167;60,009515
1,013167;60,009702
1,014167;60,009889
1,015167;60,010077
1,016167;60,010266
1,017167;60,010456
1,018167;60,010649
1,019167;60,010842
1,020167;60,011037
1,021167;60,011234
1,022167;60,011432
1,023167;60,011632
1,024167;60,011833
1,025167;60,012036
1,026167;60,012240
1,027167;60,012445
1,028167;60,012653
1,029167;60,012861
1,030167;60,013072
1,031167;60,013283
1,032167;60,013496
1,033167;60,013711
1,034167;60,013927
1,035167;60,014145
1,036167;60,014364
1,037167;60,014585
1,038167;60,014807
1,039167;60,015031
1,040167;60,015257
1,041167;60,015483
1,042167;60,015712
1,043167;60,015941
1,044167;60,016173
1,045167;60,016406
1,046167;60,016640
1,047167;60,016876
1,048167;60,017113
1,049167;60,017352
1,050000;60,017552
1,050500;60,017806
1,051167;60,017959
1,052167;60,014117
1,053167;60,012314
1,054167;60,011526
1,055167;60,011222
1,056167;60,011160
1,057167;60,011220
1,058167;60,011342
1,059167;60,011496
1,060167;60,011668
1,061167;60,011849
1,062167;60,012037
1,063167;60,012228
1,064167;60,012423
1,065167;60,012621
1,066167;60,012821
1,067167;60,013023
1,068167;60,013228
1,069167;60,013436
1,070167;60,013645
1,071167;60,013858
1,072167;60,014072
1,073167;60,014289
1,074167;60,014508
1,075167;60,014730
1,076167;60,014954
1,077167;60,015181
1,078167;60,015410
1,079167;60,015642
1,080167;60,015876
1,081167;60,016113
1,082167;60,016352
1,083167;60,016593
1,084167;60,016838
1,085167;60,017084
1,086167;60,017334
1,087167;60,017585
1,088167;60,017840
1,089167;60,018097
1,090167;60,018357
1,091167;60,018619
1,092167;60,018884
1,093167;60,019151
1,094167;60,019421
1,095167;60,019694
1,096167;60,019969
1,097167;60,020248
1,098167;60,020528
1,099167;60,020812
1,100167;60,021098
1,101167;60,021387
1,102167;60,021678
1,103167;60,021973
1,104167;60,022270
1,105167;60,022570
1,106167;60,022872
1,107167;60,023177
1,108167;60,023486
1,109167;60,023796
1,110167;60,024110
1,111167;60,024426
1,112167;60,024746
1,113167;60,025068
1,114167;60,025392
1,115167;60,025720
1,116167;60,026050
1,117167;60,026384
1,118167;60,026720
1,119167;60,027059
1,120167;60,027401
1,121167;60,027745
1,122167;60,028093
1,123167;60,028443
1,124167;60,028796
1,125167;60,029152
1,126167;60,029512
1,127167;60,029873
1,128167;60,030238
1,129167;60,030606
1,130167;60,030976
1,131167;60,031350
1,132167;60,031726
1,133167;60,032106
1,134167;60,032488
1,135167;60,032873
1,136167;60,033261
1,137167;60,033652
1,138167;60,034046
1,139167;60,034443
1,140167;60,034843
1,141167;60,035245
1,142167;60,035651
1,143167;60,036060
1,144167;60,036471
1,145167;60,036886
1,146167;60,037303
1,147167;60,037724
1,148167;60,038147
1,149167;60,038574
1,150167;60,039003
1,151167;60,039435
1,152167;60,039871
1,153167;60,040309
1,154167;60,040750
1,155167;60,041194
1,156167;60,041642
1,157167;60,042092
1,158167;60,042545
1,159167;60,043001
1,160167;60,043460
1,161167;60,043922
1,162167;60,044387
1,163167;60,044855
1,164167;60,045326
1,165167;60,045800
1,166167;60,046277
1,167167;60,046757
1,168167;60,047240
1,169167;60,047726
1,170167;60,048215
1,171167;60,048707
1,172167;60,049202
1,173167;60,049700
1,174167;60,050201
1,175167;60,050705
1,176167;60,051211
1,177167;60,051721
1,178167;60,052234
1,179167;60,052750
1,180167;60,053268
1,181167;60,053790
1,182167;60,054315
1,183167;60,054842
1,184167;60,055373
1,185167;60,055907
1,186167;60,056443
1,187167;60,056983
1,188167;60,057525
1,189167;60,058071
1,190167;60,058619
1,191167;60,059170
1,192167;60,059725
1,193167;60,060282
1,194167;60,060842
1,195167;60,061405
1,196167;60,061971
1,197167;60,062541
1,198167;60,063113
1,199167;60,063687
1,200167;60,064265
1,201167;60,064846
1,202167;60,065430
1,203167;60,066017
1,204167;60,066606
1,205167;60,067199
1,206167;60,067794
1,207167;60,068392
1,208167;60,068994
1,209167;60,069598
1,210167;60,070205
1,211167;60,070815
1,212167;60,071428
1,213167;60,072043
1,214167;60,072662
1,215167;60,073284
1,216167;60,073908
1,217167;60,074535
1,218167;60,075165
1,219167;60,075798
1,220167;60,076434
1,221167;60,077073
1,222167;60,077715
1,223167;60,078359
1,224167;60,079006
1,225167;60,079657
1,226167;60,080309
1,227167;60,080965
1,228167;60,081624
1,229167;60,082285
1,230167;60,082950
1,231167;60,083617
1,232167;60,084287
1,233167;60,084959
1,234167;60,085635
1,235167;60,086313
1,236167;60,086994
1,237167;60,087678
1,238167;60,088365
1,239167;60,089054
1,240167;60,089747
1,241167;60,090442
1,242167;60,091139
1,243167;60,091840
1,244167;60,092543
1,245167;60,093249
1,246167;60,093958
1,247167;60,094669
1,248167;60,095384
1,249167;60,096100
1,250167;60,096820
1,251167;60,097542
1,252167;60,098267
1,253167;60,098995
1,254167;60,099726
1,255167;60,100459
1,256167;60,101195
1,257167;60,101933
1,258167;60,102674
1,259167;60,103418
1,260167;60,104165
1,261167;60,104914
1,262167;60,105665
1,263167;60,106420
1,264167;60,107177
1,265167;60,107936
1,266167;60,108699
1,267167;60,109464
1,268167;60,110231
1,269167;60,111001
1,270167;60,111774
1,271167;60,112549
1,272167;60,113327
1,273167;60,114108
1,274167;60,114891
1,275167;60,115676
1,276167;60,116464
1,277167;60,117255
1,278167;60,118048
1,279167;60,118844
1,280167;60,119642
1,281167;60,120443
1,282167;60,121246
1,283167;60,122052
1,284167;60,122860
1,285167;60,123671
1,286167;60,124484
1,287167;60,125300
1,288167;60,126118
1,289167;60,126939
1,290167;60,127762
1,291167;60,128588
1,292167;60,129416
1,293167;60,130246
1,294167;60,131079
1,295167;60,131915
1,296167;60,132752
1,297167;60,133593
1,298167;60,134435
1,299167;60,135280
1,300167;60,136127
1,301167;60,136977
1,302167;60,137829
1,303167;60,138684
1,304167;60,139540
1,305167;60,140399
1,306167;60,141261
1,307167;60,142125
1,308167;60,142991
1,309167;60,143859
1,310167;60,144730
1,311167;60,145603
1,312167;60,146479
1,313167;60,147356
1,314167;60,148236
1,315167;60,149118
1,316167;60,150003
1,317167;60,150889
1,318167;60,151778
1,319167;60,152670
1,320167;60,153563
1,321167;60,154459
1,322167;60,155357
1,323167;60,156257
1,324167;60,157159
1,325167;60,158063
1,326167;60,158970
1,327167;60,159879
1,328167;60,160790
1,329167;60,161703
1,330167;60,162618
1,331167;60,163536
1,332167;60,164455
1,333167;60,165377
1,334167;60,166301
1,335167;60,167227
1,336167;60,168155
1,337167;60,169085
1,338167;60,170017
1,339167;60,170951
1,340167;60,171888
1,341167;60,172826
1,342167;60,173767
1,343167;60,174709
1,344167;60,175654
1,345167;60,176600
1,346167;60,177549
1,347167;60,178500
1,348167;60,179452
1,349167;60,180407
1,350167;60,181363
1,351167;60,182322
1,352167;60,183283
1,353167;60,184245
1,354167;60,185210
1,355167;60,186176
1,356167;60,187144
1,357167;60,188115
1,358167;60,189087
1,359167;60,190061
1,360167;60,191037
1,361167;60,192015
1,362167;60,192995
1,363167;60,193976
1,364167;60,194960
1,365167;60,195945
1,366167;60,196933
1,367167;60,197922
1,368167;60,198913
1,369167;60,199905
1,370167;60,200900
1,371167;60,201896
1,372167;60,202894
