Classical Model;G2;G3
"Zeitpunkt in s";"firel in deg";"firel in deg"
0,729467;44,729320;27,172741
0,730467;44,511185;27,003301
0,731467;44,292910;26,834009
0,732467;44,074504;26,664872
0,733467;43,855974;26,495900
0,734467;43,637327;26,327101
0,735467;43,418570;26,158483
0,736467;43,199712;25,990054
0,737467;42,980759;25,821824
0,738467;42,761718;25,653801
0,739467;42,542599;25,485992
0,740467;42,323407;25,318407
0,741467;42,104151;25,151054
0,742467;41,884838;24,983941
0,743467;41,665477;24,817076
0,744467;41,446074;24,650468
0,745467;41,226637;24,484126
0,746467;41,007175;24,318057
0,747467;40,787695;24,152269
0,748467;40,568204;23,986771
0,749467;40,348711;23,821572
0,750467;40,129223;23,656679
0,751467;39,909749;23,492100
0,752467;39,690295;23,327844
0,753467;39,470871;23,163919
0,754467;39,251485;23,000333
0,755467;39,032143;22,837094
0,756467;38,812854;22,674210
0,757467;38,593626;22,511689
0,758467;38,374468;22,349539
0,759467;38,155387;22,187768
0,760467;37,936392;22,026384
0,761467;37,717490;21,865395
0,762467;37,498689;21,704808
0,763467;37,279999;21,544632
0,764467;37,061427;21,384874
0,765467;36,842981;21,225542
0,766467;36,624669;21,066644
0,767467;36,406501;20,908187
0,768467;36,188483;20,750179
0,769467;35,970625;20,592628
0,770467;35,752935;20,435541
0,771467;35,535421;20,278926
0,772467;35,318091;20,122789
0,773467;35,100955;19,967140
0,774467;34,884019;19,811984
0,775467;34,667293;19,657330
0,776467;34,450786;19,503185
0,777467;34,234505;19,349555
0,778467;34,018459;19,196448
0,779467;33,802657;19,043872
0,780467;33,587107;18,891833
0,781467;33,371817;18,740339
0,782467;33,156797;18,589396
0,783467;32,942055;18,439011
0,784467;32,727598;18,289192
0,785467;32,513437;18,139945
0,786467;32,299579;17,991277
0,787467;32,086033;17,843195
0,788467;31,872808;17,695705
0,789467;31,659912;17,548815
0,790467;31,447355;17,402530
0,791467;31,235143;17,256858
0,792467;31,023288;17,111804
0,793467;30,811796;16,967376
0,794467;30,600677;16,823579
0,795467;30,389939;16,680421
0,796467;30,179591;16,537906
0,797467;29,969643;16,396042
0,798467;29,760101;16,254835
0,799467;29,550976;16,114290
0,800467;29,342276;15,974414
0,801467;29,134010;15,835213
0,802467;28,926186;15,696692
0,803467;28,718814;15,558858
0,804467;28,511901;15,421715
0,805467;28,305457;15,285271
0,806467;28,099491;15,149531
0,807467;27,894011;15,014499
